title,length,release_year,genre,plot_summary,cast,rating_imdb,rating_rotten_tomatoes
Tarantella,Short,1989,"[""Short"", ""Horror""]",Suffering of a young man while he had nightmare about spiders and demons.,"[{""Actor"": ""Roko Belic"",""Character"": null},{""Actor"": ""Christopher Nolan"",""Character"": ""Man in Black (uncredited)""},{""Actor"": ""Jonathan Nolan"",""Character"": ""Man in White (uncredited)""}]",5.3,
Oppenheimer,Full,2023,"[""Biography"", ""Drama"", ""History""]","As America's isolation from World War II ends, prominent American theoretical physicist J. Robert Oppenheimer finds himself tasked with performing a miracle. Driven by fear, with the Germans having an overwhelming head start on the race to develop the atomic bomb, the Allies begin the ambitious Manhattan Project. With Oppenheimer at the helm, the Los Alamos Laboratory spearheads a top-secret government endeavour to weaponise theory before the Nazis do. However, nothing can prepare the world for the outcome of the greatest scientific gamble in history: a closely guarded, multibillion-dollar military programme to end all war. After all, no one can be trusted with such a devastating weapon of mass destruction--not even geniuses.","[{""Actor"": ""Cillian Murphy"",""Character"": ""J. Robert Oppenheimer""},{""Actor"": ""Emily Blunt"",""Character"": ""Kitty Oppenheimer""},{""Actor"": ""Robert Downey Jr."",""Character"": ""Lewis Strauss""},{""Actor"": ""Alden Ehrenreich"",""Character"": ""Senate Aide""},{""Actor"": ""Scott Grimes"",""Character"": ""Counsel""},{""Actor"": ""Jason Clarke"",""Character"": ""Roger Robb""},{""Actor"": ""Kurt Koehler"",""Character"": ""Thomas Morgan""},{""Actor"": ""Tony Goldwyn"",""Character"": ""Gordon Gray""},{""Actor"": ""John Gowans"",""Character"": ""Ward Evans""},{""Actor"": ""Macon Blair"",""Character"": ""Lloyd Garrison""},{""Actor"": ""James D'Arcy"",""Character"": ""Patrick Blackett""},{""Actor"": ""Kenneth Branagh"",""Character"": ""Niels Bohr""},{""Actor"": ""Harry Groener"",""Character"": ""Senator McGee""},{""Actor"": ""Gregory Jbara"",""Character"": ""Chairman Magnuson""},{""Actor"": ""Ted King"",""Character"": ""Senator Bartlett""},{""Actor"": ""Tim DeKay"",""Character"": ""Senator Pastore""},{""Actor"": ""Steven Houska"",""Character"": ""Senator Scott""},{""Actor"": ""Tom Conti"",""Character"": ""Albert Einstein""},{""Actor"": ""David Krumholtz"",""Character"": ""Isidor Rabi""},{""Actor"": ""Petrie Willink"",""Character"": ""Dutch Student""},{""Actor"": ""Matthias Schweighöfer"",""Character"": ""Werner Heisenberg""},{""Actor"": ""Josh Hartnett"",""Character"": ""Ernest Lawrence""},{""Actor"": ""Alex Wolff"",""Character"": ""Luis Alvarez""},{""Actor"": ""Josh Zuckerman"",""Character"": ""Rossi Lomanitz""},{""Actor"": ""Rory Keane"",""Character"": ""Hartland Snyder""},{""Actor"": ""Michael Angarano"",""Character"": ""Robert Serber""},{""Actor"": ""Dylan Arnold"",""Character"": ""Frank Oppenheimer""},{""Actor"": ""Emma Dumont"",""Character"": ""Jackie Oppenheimer""},{""Actor"": ""Florence Pugh"",""Character"": ""Jean Tatlock""},{""Actor"": ""Sadie Stratton"",""Character"": ""Mary Washburn""},{""Actor"": ""Jefferson Hall"",""Character"": ""Haakon Chevalier""},{""Actor"": ""Britt Kyle"",""Character"": ""Barbara Chevalier""},{""Actor"": ""Guy Burnet"",""Character"": ""George Eltenton""},{""Actor"": ""Tom Jenkins"",""Character"": ""Richard Tolman""},{""Actor"": ""Matthew Modine"",""Character"": ""Vannevar Bush""},{""Actor"": ""Louise Lombard"",""Character"": ""Ruth Tolman""},{""Actor"": ""David Dastmalchian"",""Character"": ""William Borden""},{""Actor"": ""Michael Andrew Baker"",""Character"": ""Joe Volpe""},{""Actor"": ""Jeff Hephner"",""Character"": ""Congressman""},{""Actor"": ""Matt Damon"",""Character"": ""Leslie Groves""},{""Actor"": ""Dane DeHaan"",""Character"": ""Kenneth Nichols""},{""Actor"": ""Olli Haaskivi"",""Character"": ""Edward Condon""},{""Actor"": ""David Rysdahl"",""Character"": ""Donald Hornig""},{""Actor"": ""Josh Peck"",""Character"": ""Kenneth Bainbridge""},{""Actor"": ""Jack Quaid"",""Character"": ""Richard Feynman""},{""Actor"": ""Brett DelBuono"",""Character"": ""Concerned Scientist""},{""Actor"": ""Benny Safdie"",""Character"": ""Edward Teller""},{""Actor"": ""Gustaf Skarsgård"",""Character"": ""Hans Bethe""},{""Actor"": ""James Urbaniak"",""Character"": ""Kurt Gödel""},{""Actor"": ""Trond Fausa"",""Character"": ""George Kistiakowsky""},{""Actor"": ""Devon Bostick"",""Character"": ""Seth Neddermeyer""},{""Actor"": ""Danny Deferrari"",""Character"": ""Enrico Fermi""},{""Actor"": ""Christopher Denham"",""Character"": ""Klaus Fuchs""},{""Actor"": ""Jessica Erin Martin"",""Character"": ""Charlotte Serber""},{""Actor"": ""Ronald Auguste"",""Character"": ""J. Ernest Wilkins""},{""Actor"": ""Rami Malek"",""Character"": ""David Hill""},{""Actor"": ""Máté Haumann"",""Character"": ""Leo Szilard""},{""Actor"": ""Olivia Thirlby"",""Character"": ""Lilli Hornig""},{""Actor"": ""Jack Cutmore-Scott"",""Character"": ""Lyall Johnson""},{""Actor"": ""Casey Affleck"",""Character"": ""Boris Pash""},{""Actor"": ""Harrison Gilbertson"",""Character"": ""Philip Morrison""},{""Actor"": ""James Remar"",""Character"": ""Henry Stimson""},{""Actor"": ""Will Roberts"",""Character"": ""George C. Marshall""},{""Actor"": ""Pat Skipper"",""Character"": ""James Byrnes""},{""Actor"": ""Steve Coulter"",""Character"": ""James Conant""}]",8.3,93.0
Interstellar,Full,2014,"[""Adventure"", ""Drama"", ""Sci-fi""]","Earth, 2067. With widespread famine ravaging humankind and unprecedented blight collapsing the global economies, Joseph Cooper, a reclusive farmer and father of two, becomes NASA's last hope. As a result, a team of researchers determined to find answers in the vastness of space embarks on a life-and-death mission to discover a compatible new home for the now-endangered human race. But as Cooper leaves his family behind in search of opportunities, unfathomable mysteries unfold, and a crucial question arises. Are the bold extragalactic explorers prepared to push the limits of knowledge and interstellar travel?","[{""Actor"": ""Ellen Burstyn"",""Character"": ""Murph (Older)""},{""Actor"": ""Matthew McConaughey"",""Character"": ""Cooper""},{""Actor"": ""Mackenzie Foy"",""Character"": ""Murph (10 Yrs.)""},{""Actor"": ""John Lithgow"",""Character"": ""Donald""},{""Actor"": ""Timothée Chalamet"",""Character"": ""Tom (15 Yrs.)""},{""Actor"": ""David Oyelowo"",""Character"": ""School Principal""},{""Actor"": ""Collette Wolfe"",""Character"": ""Ms. Hanley""},{""Actor"": ""Francis X. McCarthy"",""Character"": ""Boots (as Francis Xavier McCarthy)""},{""Actor"": ""Bill Irwin"",""Character"": ""TARS (voice)""},{""Actor"": ""Anne Hathaway"",""Character"": ""Brand""},{""Actor"": ""Andrew Borba"",""Character"": ""Smith""},{""Actor"": ""Wes Bentley"",""Character"": ""Doyle""},{""Actor"": ""William Devane"",""Character"": ""Williams""},{""Actor"": ""Michael Caine"",""Character"": ""Professor Brand""},{""Actor"": ""David Gyasi"",""Character"": ""Romilly""},{""Actor"": ""Josh Stewart"",""Character"": ""CASE (voice)""},{""Actor"": ""Casey Affleck"",""Character"": ""Tom""},{""Actor"": ""Leah Cairns"",""Character"": ""Lois""},{""Actor"": ""Jessica Chastain"",""Character"": ""Murph""},{""Actor"": ""Liam Dickinson"",""Character"": ""Coop""},{""Actor"": ""Topher Grace"",""Character"": ""Getty""},{""Actor"": ""Matt Damon"",""Character"": ""Mann""}]",8.7,73.0
Dunkirk,Full,2017,"[""Action"", ""Drama"", ""History""]","World War II. The enemy forces have cornered four hundred thousand British and French soldiers on the French coast at Dunkirk. A small number of primarily-French soldiers are guarding the perimeter, where the British and French soldiers are amassed, which is getting increasingly smaller as enemy forces advance. Most of those British and French soldiers are now on the beach waiting for destroyers to come and take them back to Britain. Each of the countries are taking care of their own. The British are leaving first and among those the wounded get first priority despite their taking up seven times the space of the able-bodied soldiers. An issue with Dunkirk is that there is only one dock the destroyers can access, which needs to be protected from the enemy bombs. As such, Churchill, newly elected, has put out a call for civilian watercraft to head to Dunkirk both to transport supplies and to transport soldiers from the beach to the destroyers or back to Britain if at all possible. Within this situation, four general stories are told. In one, Commander Bolton, the top British Naval officer on the ground, knows deep in his heart that the soldiers are largely sitting ducks on the beach as the enemy planes fly over. He knows that the situation is a catch-22 for the British in that they need to bring as many soldiers safely home as possible at the depletion of their military resources, which in turn they need to preserve for the day if, but more likely when, the enemies make their way onto British soil. In the second story, a squadron of three Royal Air Force Spitfires are amongst those limited air resources that are embarking in dog fights with enemy planes, while protecting the soldiers on the ground. In the process, they have to ensure their own safety in order to provide what is needed for the ground soldiers, which includes knowing about things like fuel levels and having enough to make their way back to home base whenever required. In the third story, two soldiers meet on the beach, the two of them knowing that the longer they remain on the beach, the likelier they are not to survive this skirmish. As such, they try to do whatever they need to to make it onto one of those destroyers or any other watercraft making its way back to Britain. However, making it aboard a ship does not necessarily ensure their survival, and in the final story, Mr. Dawson, his young-adult son Peter, and their seventeen-year-old friend George are on Dawson's pleasure craft making its way to Dunkirk to do their part in the war effort, all realizing the dangers involved. They have to decide at each step along the way if they will focus on personal problems or if they will continue on to assist in the war, as was their first priority when they left Britain.","[{""Actor"": ""Fionn Whitehead"",""Character"": ""Tommy""},{""Actor"": ""Damien Bonnard"",""Character"": ""French Soldier""},{""Actor"": ""Aneurin Barnard"",""Character"": ""Gibson""},{""Actor"": ""Lee Armstrong"",""Character"": ""Grenadier""},{""Actor"": ""James Bloor"",""Character"": ""Irate Soldier""},{""Actor"": ""Barry Keoghan"",""Character"": ""George""},{""Actor"": ""Mark Rylance"",""Character"": ""Mr. Dawson""},{""Actor"": ""Tom Glynn-Carney"",""Character"": ""Peter""},{""Actor"": ""Tom Hardy"",""Character"": ""Farrier""},{""Actor"": ""Jack Lowden"",""Character"": ""Collins""},{""Actor"": ""Fionn Whitehead"",""Character"": ""Tommy""},{""Actor"": ""Damien Bonnard"",""Character"": ""French Soldier""},{""Actor"": ""Aneurin Barnard"",""Character"": ""Gibson""},{""Actor"": ""Lee Armstrong"",""Character"": ""Grenadier""},{""Actor"": ""James Bloor"",""Character"": ""Irate Soldier""},{""Actor"": ""Barry Keoghan"",""Character"": ""George""},{""Actor"": ""Mark Rylance"",""Character"": ""Mr. Dawson""},{""Actor"": ""Tom Glynn-Carney"",""Character"": ""Peter""},{""Actor"": ""Tom Hardy"",""Character"": ""Farrier""},{""Actor"": ""Jack Lowden"",""Character"": ""Collins""}]",7.8,92.0
Insomnia,Full,2002,"[""Drama"", ""Mystery"", ""Thriller""]","In Nightmute, Alaska, seventeen year old resident Kay Connell is found murdered. As a favor to the local Nightmute police chief, two Los Angeles Robbery Homicide police detectives, Will Dormer and Hap Eckhart, are called in to assist in the investigation. Although renowned in the police world, both Dormer and Eckhart are facing some professional issues back in Los Angeles. In Nightmute, Dormer has a major case of insomnia due to a combination of the incessant midnight sun and from a secret he is carrying. This insomnia is causing him to be delusional. Something he is not dreaming about is that the murderer has contacted him, informing him all about the murder and the fact that he knows everything that is going on with Dormer. They begin a symbiotic relationship in keeping secrets for each individual's benefit. But ambitious young local detective, Ellie Burr, might piece the story together on her own.","[{""Actor"": ""Al Pacino"", ""Character"": ""Will Dormer""},{""Actor"": ""Martin Donovan"", ""Character"": ""Hap Eckhart""},{""Actor"": ""Oliver 'Ole' Zemen"", ""Character"": ""Pilot""},{""Actor"": ""Hilary Swank"", ""Character"": ""Ellie Burr""},{""Actor"": ""Paul Dooley"", ""Character"": ""Chief Nyback""},{""Actor"": ""Nicky Katt"", ""Character"": ""Fred Duggar""},{""Actor"": ""Larry Holden"", ""Character"": ""Farrell""},{""Actor"": ""Jay Brazeau"", ""Character"": ""Francis""},{""Actor"": ""Lorne Cardinal"", ""Character"": ""Rich""},{""Actor"": ""James Huston"", ""Character"": ""Officer #1""},{""Actor"": ""Andrew Campbell"", ""Character"": ""Officer #2""},{""Actor"": ""Paula Shaw"", ""Character"": ""Coroner""},{""Actor"": ""Yan-Kay Crystal Lowe"", ""Character"": ""Kay Connell (as Crystal Lowe)""},{""Actor"": ""Tasha Simms"", ""Character"": ""Mrs. Connell""},{""Actor"": ""Maura Tiernney"", ""Character"": ""Rachel Clement""},{""Actor"": ""Jonathan Jackson"", ""Character"": ""Randy Stetz""},{""Actor"": ""Malcolm Boddington"", ""Character"": ""Principal""},{""Actor"": ""Katharine Isabelle"", ""Character"": ""Tanya Franckle""},{""Actor"": ""Robin Williams"", ""Character"": ""Walter Finch""}]",7.2,92.0
Doodlebug,Short,1997,"[""Short"", ""Fantasy"", ""Mystery""]","In a ratty flat, a man is on his hands and knees, holding a shoe by its toe, trying to kill a bug of some sort that so far has managed to evade him. He keeps up the chase and whacks at it a few times. Then, we get a look at what he's been trying to flatten. In what sort of universe have we found ourselves? Who's in danger?","[{""Actor"": ""Jeremy Theobald"",""Character"": ""The Man""}]",7.0,
The Prestige,Full,2006,"[""Drama"", ""Mystery"", ""Sci-fi""]","In nineteenth century London, illusionist Alfred Borden is on trial for the murder of fellow illusionist, Robert Angier. Borden's indictment is largely possible because of the eyewitness account of John Cutter, who saw Borden backstage in the area where Angier was killed. At the end of one of his shows, Angier fell through a trap door in the stage floor into a clear water-filled tank below, that tank which was a prop for one of Angier's tricks performed earlier in the show. Angier ended up drowning, as the tank was locked after he fell into it. Borden, Angier, and Cutter have a shared largely turbulent history, which also provides motive. Early in their magic careers, both Borden and Angier worked under ""Milton the Magician"", while Angier's wife Julia worked as his on-stage assistant, and Cutter as his ingénieur, staging the tricks and providing the apparatus required, work that he still does for others. Based on a specific incident during this stage of their relationship led to both Borden and Angier striking out, creating their own shows, and them having a feud, which was not only in the professional realm, but a personal one, where each man wanted to ruin the other. While Borden is arguably more accomplished in the technical aspects of the illusions, Angier is the more accomplished showman. In the professional realm, they tried to outdo each other, especially in the illusions considered either the most dangerous and/or mysterious, those two being catching-the-bullet trick, and more so, the transported man trick. In the process of their feud, they seemingly were not averse to any means, even with collateral damage of others. The question is if those means extend to murder, especially of the other.","[{""Actor"": ""Hugh Jackman"", ""Character"": ""Robert Angier""},{""Actor"": ""Christian Bale"", ""Character"": ""Alfred Borden""},{""Actor"": ""Michael Caine"", ""Character"": ""Cutter""},{""Actor"": ""Piper Perabo"", ""Character"": ""Julia McCullough""},{""Actor"": ""Rebecca Hall"", ""Character"": ""Sarah""},{""Actor"": ""Scarlett Johanson"", ""Character"": ""Plivia Wenscombe""},{""Actor"": ""Samantha Mahurin"", ""Character"": ""Jess""},{""Actor"": ""David Bowie"", ""Character"": ""Tesla""},{""Actor"": ""Andy Serkis"", ""Character"": ""Alley""},{""Actor"": ""Daniel Davis"", ""Character"": ""Judge""},{""Actor"": ""Jim Piddock"", ""Character"": ""Prosecutor""},{""Actor"": ""Christopher Neame"", ""Character"": ""Defender""},{""Actor"": ""MArk Ryan"", ""Character"": ""Captain""},{""Actor"": ""Roger Rees"", ""Character"": ""Owens""},{""Actor"": ""JAmie Harris"", ""Character"": ""Warder""},{""Actor"": ""Monty Stuart"", ""Character"": ""Stagecoach Driver""},{""Actor"": ""Ron Perkins"", ""Character"": ""Hotel Manager""},{""Actor"": ""Ricky Jay"", ""Character"": ""Milton""},{""Actor"": ""J. Paul Moore"", ""Character"": ""Virgil""}]",8.5,77.0
The Dark Knight Rises,Full,2012,"[""Action"", ""Drama"", ""Thriller""]","Eight years after The Joker's Defeat and Batman took the fall for the murders committed by Harvey Dent, Gotham has a new enemy, Bane, a former member of the League of Shadows. Earlier, with Wayne Manor completely rebuilt, Bruce had become completely reclusive, rarely leaving the estate. Bane plans to continue the work of Ra's al Ghul by destroying Gotham. With allies being few and far between, Batman teams up with elusive jewel thief Selina Kyle, who may also be the key to stopping Bane. But whose side is she really on?","[{""Actor"": ""Christian Bale"", ""Character"": ""Bruce Wayne""},{""Actor"": ""Christian Bale"", ""Character"": ""Bataman""},{""Actor"": ""Gary Oldman"", ""Character"": ""Jim Gordon""},{""Actor"": ""Tom Hardy"", ""Character"": ""Bane""},{""Actor"": ""Joseph Gordon-Levitt"", ""Character"": ""Blake""},{""Actor"": ""Anne Hathway"", ""Character"": ""Selina""},{""Actor"": ""Marion Cotillard"", ""Character"": ""Miranda""},{""Actor"": ""Morgan Freeman"", ""Character"": ""Lucious Fox""},{""Actor"": ""Michael Caine"", ""Character"": ""Alfred""},{""Actor"": ""Mathew Modine"", ""Character"": ""Foley""},{""Actor"": ""Alon Aboutboul"", ""Character"": ""Dr. Pavel""},{""Actor"": ""Ben Mendelsohn"", ""Character"": ""Daggett""},{""Actor"": ""Burn Gorman"", ""Character"": ""Stryver""},{""Actor"": ""Daniel Sunjata"", ""Character"": ""Captain Jones""},{""Actor"": ""Aidan Gillen"", ""Character"": ""CIA Op""},{""Actor"": ""Sam Kennard"", ""Character"": ""Special Ops Sergeant""},{""Actor"": ""Aliash Tepina"", ""Character"": ""Hooded Man #2""},{""Actor"": ""Nestor Carbonell"", ""Character"": ""Mayor""}]",8.4,87.0
Tenet,Full,2020,"[""Action"", ""Sci-fi"", ""Thriller""]","After having a near-death experience, an unnamed CIA operative, known as the Protagonist, is selected to join the ranks of the shadowy government organization called Tenet: a group tasked with ensuring the survival of the human race. Entrusted with coming to grips with a terrifying, cutting-edge technology, and an imminent attack from the future, the Protagonist teams up with his cryptic new partner, Neil, following a faint trail of clues that lead to the villainous Russian oligarch, Sator. However, this is a race against time, and as the suffocating stranglehold of the invisible threat tightens, more and more, the future of our world is hanging by a thread. Can two agents working alone avert the impending Armageddon?","[{""Actor"": ""Juhan Ulfsak"",""Character"": ""Passenger""},{""Actor"": ""Jefferson Hall"",""Character"": ""Well-Dressed Man""},{""Actor"": ""Ivo Uukkivi"",""Character"": ""Uniformed Official""},{""Actor"": ""Andrew Howard"",""Character"": ""Driver""},{""Actor"": ""John David Washington"",""Character"": ""Protagonist""},{""Actor"": ""Rich Ceraulo Ko"",""Character"": ""SWAT / Target""},{""Actor"": ""Jonathan Camp"",""Character"": ""SWAT 2""},{""Actor"": ""Wes Chatham"",""Character"": ""SWAT 3""},{""Actor"": ""Sander Rebane"",""Character"": ""Ukrainian SWAT""},{""Actor"": ""Martin Donovan"",""Character"": ""Fay""},{""Actor"": ""Clémence Poésy"",""Character"": ""Barbara""},{""Actor"": ""Josh Stewart"",""Character"": ""Male Voice (voice)""},{""Actor"": ""Robert Pattinson"",""Character"": ""Neil""},{""Actor"": ""Dimple Kapadia"",""Character"": ""Priya""},{""Actor"": ""Denzil Smith"",""Character"": ""Sanjay""},{""Actor"": ""Jeremy Theobald"",""Character"": ""Steward""},{""Actor"": ""Michael Caine"",""Character"": ""Crosby""},{""Actor"": ""Tom Nolan"",""Character"": ""Shipley's Representative""},{""Actor"": ""Elizabeth Debicki"",""Character"": ""Kat""},{""Actor"": ""Laurie Shepherd"",""Character"": ""Max""},{""Actor"": ""Yuri Kolokolnikov"",""Character"": ""Volkov""},{""Actor"": ""Marcel Sabat"",""Character"": ""Gaunt Russian""},{""Actor"": ""Julia-Maria Arnolds"",""Character"": ""Nanny""},{""Actor"": ""Jack Cutmore-Scott"",""Character"": ""Klaus""},{""Actor"": ""Himesh Patel"",""Character"": ""Mahir""},{""Actor"": ""Anthony Molinari"",""Character"": ""Rohan""}]",7.3,69.0
Larceny,Short,1996,"[""Short""]",A man who likes to pick-pocket people gets chased through the woods by the people he's trying to steal from.,"[{""Actor"": ""Mark Deighton"",""Character"": ""Toby""},{""Actor"": ""Dave Savva"",""Character"": ""Wooly Hat""},{""Actor"": ""Jeremy Theobald"",""Character"": ""The Man""}]",6.4,
